Süre (Sn)	Basýnç (Torr)
0		7,6E+2
5		7,6E+2
10		7,6E+2
15		7,6E+2
20		7,6E+2
25		7,6E+2
30		7,6E+2
35		7,6E+2
40		7,6E+2
45		7,6E+2
50		7,6E+2
55		7,6E+2
60		7,6E+2
65		7,6E+2
70		7,6E+2
75		7,6E+2
80		7,6E+2
85		7,6E+2
90		7,6E+2
95		7,6E+2
100		7,6E+2
105		7,6E+2
110		7,6E+2
115		7,6E+2
120		7,6E+2
125		7,6E+2
130		7,6E+2
135		7,6E+2
140		7,6E+2
145		7,6E+2
150		7,6E+2
155		7,6E+2
160		7,6E+2
165		7,6E+2
170		7,6E+2
175		7,6E+2
180		7,6E+2
185		7,6E+2
190		7,6E+2
195		7,6E+2
200		7,6E+2
205		7,6E+2
210		7,6E+2
215		7,6E+2
220		7,6E+2
225		7,6E+2
230		7,6E+2
235		7,6E+2
240		7,6E+2
245		7,6E+2
250		7,6E+2
255		7,6E+2
260		7,6E+2
265		7,6E+2
270		7,6E+2
275		7,6E+2
280		7,6E+2
285		7,6E+2
290		7,6E+2
295		7,6E+2
300		7,6E+2
305		7,6E+2
310		7,6E+2
315		7,6E+2
320		7,6E+2
325		7,6E+2
330		7,6E+2
335		7,6E+2
340		7,6E+2
345		7,6E+2
350		7,6E+2
355		7,6E+2
360		7,6E+2
365		7,6E+2
370		7,6E+2
375		7,6E+2
380		7,6E+2
385		7,6E+2
390		7,6E+2
395		7,6E+2
400		7,6E+2
405		7,6E+2
410		7,6E+2
415		7,6E+2
420		7,6E+2
425		7,6E+2
430		7,6E+2
435		7,6E+2
440		7,6E+2
445		7,6E+2
450		7,6E+2
455		7,6E+2
460		7,6E+2
465		7,6E+2
470		7,6E+2
475		7,6E+2
480		7,6E+2
485		7,6E+2
490		7,6E+2
495		7,6E+2
500		7,6E+2
505		7,6E+2
510		7,6E+2
515		7,6E+2
520		7,6E+2
525		7,6E+2
530		7,6E+2
535		7,6E+2
540		7,6E+2
545		7,6E+2
550		7,6E+2
555		7,6E+2
560		7,6E+2
565		7,6E+2
570		7,6E+2
575		7,6E+2
580		7,6E+2
585		7,6E+2
590		7,6E+2
595		7,6E+2
600		7,6E+2
605		7,6E+2
610		7,6E+2
615		7,6E+2
620		7,6E+2
625		7,6E+2
630		7,6E+2
635		7,6E+2
640		7,6E+2
645		7,6E+2
650		7,6E+2
655		7,6E+2
660		7,6E+2
665		7,6E+2
670		7,6E+2
675		7,6E+2
680		7,6E+2
685		7,6E+2
690		7,6E+2
695		7,6E+2
700		7,6E+2
705		7,6E+2
710		7,6E+2
715		7,6E+2
720		7,6E+2
725		7,6E+2
730		7,6E+2
735		7,6E+2
740		7,6E+2
745		7,6E+2
750		7,6E+2
755		7,6E+2
760		7,6E+2
765		7,6E+2
770		7,6E+2
775		7,6E+2
780		7,6E+2
785		7,6E+2
790		7,6E+2
795		7,6E+2
800		7,6E+2
805		7,6E+2
810		7,6E+2
815		7,6E+2
820		7,6E+2
825		7,6E+2
830		7,6E+2
835		7,6E+2
840		7,6E+2
845		7,6E+2
850		7,6E+2
855		7,6E+2
860		7,6E+2
865		7,6E+2
870		7,6E+2
875		7,6E+2
880		7,6E+2
885		7,6E+2
890		7,6E+2
895		7,6E+2
900		7,6E+2
905		7,6E+2
910		7,6E+2
915		7,6E+2
920		7,6E+2
925		7,6E+2
930		7,6E+2
935		7,6E+2
940		7,6E+2
945		7,6E+2
950		7,6E+2
955		7,6E+2
960		7,6E+2
965		7,6E+2
970		7,6E+2
975		7,6E+2
980		7,6E+2
985		7,6E+2
990		7,6E+2
995		7,6E+2
1000		7,6E+2
1005		7,6E+2
1010		7,6E+2
1015		7,6E+2
1020		7,6E+2
1025		7,6E+2
1030		7,6E+2
1035		7,6E+2
1040		7,6E+2
1045		7,6E+2
1050		7,6E+2
1055		7,6E+2
1060		7,6E+2
1065		7,6E+2
1070		7,6E+2
1075		7,6E+2
1080		7,6E+2
1085		7,6E+2
1090		7,6E+2
1095		7,6E+2
1100		7,6E+2
1105		7,6E+2
1110		7,6E+2
1115		7,6E+2
1120		7,6E+2
1125		7,6E+2
1130		7,6E+2
1135		7,6E+2
1140		7,6E+2
1145		7,6E+2
1150		7,6E+2
1155		7,6E+2
1160		7,6E+2
1165		7,6E+2
1170		7,6E+2
1175		7,6E+2
1180		7,6E+2
1185		7,6E+2
1190		7,6E+2
1195		7,6E+2
1200		7,6E+2
1205		7,6E+2
1210		7,6E+2
1215		7,6E+2
1220		7,6E+2
1225		7,6E+2
1230		7,6E+2
1235		7,6E+2
1240		7,6E+2
1245		7,6E+2
1250		7,6E+2
1255		7,6E+2
1260		7,6E+2
1265		7,6E+2
1270		7,6E+2
1275		7,6E+2
1280		7,6E+2
1285		7,6E+2
1290		7,6E+2
1295		7,6E+2
1300		7,6E+2
1305		7,6E+2
1310		7,6E+2
1315		7,6E+2
1320		7,6E+2
1325		7,6E+2
1330		7,6E+2
1335		7,6E+2
1340		7,6E+2
1345		7,6E+2
1350		7,6E+2
1355		7,6E+2
1360		7,6E+2
1365		7,6E+2
1370		7,6E+2
1375		7,6E+2
1380		7,6E+2
1385		7,6E+2
1390		7,6E+2
1395		7,6E+2
1400		7,6E+2
1405		7,6E+2
1410		7,6E+2
1415		7,6E+2
1420		7,6E+2
1425		7,6E+2
1430		7,6E+2
1435		7,6E+2
1440		7,6E+2
1445		7,6E+2
1450		7,6E+2
1455		7,6E+2
1460		7,6E+2
1465		7,6E+2
1470		7,6E+2
1475		7,6E+2
1480		7,6E+2
1485		7,6E+2
1490		7,6E+2
1495		7,6E+2
1500		7,6E+2
1505		7,6E+2
1510		7,6E+2
1515		7,6E+2
1520		7,6E+2
1525		7,6E+2
1530		7,6E+2
1535		7,6E+2
1540		7,6E+2
1545		7,6E+2
1550		7,6E+2
1555		7,6E+2
1560		7,6E+2
1565		7,6E+2
1570		7,6E+2
1575		7,6E+2
1580		7,6E+2
1585		7,6E+2
1590		7,6E+2
1595		7,6E+2
1600		7,6E+2
1605		7,6E+2
1610		7,6E+2
1615		7,6E+2
1620		7,6E+2
1625		7,6E+2
1630		7,6E+2
1635		7,6E+2
1640		7,6E+2
1645		7,6E+2
1650		7,6E+2
1655		7,6E+2
1660		7,6E+2
1665		7,6E+2
1670		7,6E+2
1675		7,6E+2
1680		7,6E+2
1685		7,6E+2
1690		7,6E+2
1695		7,6E+2
1700		7,6E+2
1705		7,6E+2
1710		7,6E+2
1715		7,6E+2
1720		7,6E+2
1725		7,6E+2
1730		7,6E+2
1735		7,6E+2
1740		7,6E+2
1745		7,6E+2
1750		7,6E+2
1755		7,6E+2
1760		7,6E+2
1765		7,6E+2
1770		7,6E+2
1775		7,6E+2
1780		7,6E+2
1785		7,6E+2
1790		7,6E+2
1795		7,6E+2
1800		7,6E+2
1805		7,6E+2
1810		7,6E+2
1815		7,6E+2
1820		7,6E+2
1825		7,6E+2
1830		7,6E+2
1835		7,6E+2
1840		7,6E+2
1845		7,6E+2
1850		7,6E+2
1855		7,6E+2
1860		7,6E+2
1865		7,6E+2
1870		7,6E+2
1875		7,6E+2
1880		7,6E+2
1885		7,6E+2
1890		7,6E+2
1895		7,6E+2
1900		7,6E+2
1905		7,6E+2
1910		7,6E+2
1915		7,6E+2
1920		7,6E+2
1925		7,6E+2
1930		7,6E+2
1935		7,6E+2
1940		7,6E+2
1945		7,6E+2
1950		7,6E+2
1955		7,6E+2
1960		7,6E+2
1965		7,6E+2
1970		7,6E+2
1975		7,6E+2
1980		7,6E+2
1985		7,6E+2
1990		7,6E+2
1995		7,6E+2
2000		7,6E+2
2005		7,6E+2
2010		7,6E+2
2015		7,6E+2
2020		7,6E+2
2025		7,6E+2
2030		7,6E+2
2035		7,6E+2
2040		7,6E+2
2045		7,6E+2
2050		7,6E+2
2055		7,6E+2
2060		7,6E+2
2065		7,6E+2
2070		7,6E+2
2075		7,6E+2
2080		7,6E+2
2085		7,6E+2
2090		7,6E+2
2095		7,6E+2
2100		7,6E+2
2105		7,6E+2
2110		7,6E+2
2115		7,6E+2
2120		7,6E+2
2125		7,6E+2
2130		7,6E+2
2135		7,6E+2
2140		7,6E+2
2145		7,6E+2
2150		7,6E+2
2155		7,6E+2
2160		7,6E+2
2165		7,6E+2
2170		7,6E+2
2175		7,6E+2
2180		7,6E+2
